"","gender","age","party","register","rate"
"104","Female","18-30","Other","Yes",3
"105","Female","18-30","Unsure","No",5
"106","Female","18-30","Liberal","Yes",3
"107","Female","18-30","Liberal","Yes",2
"108","Male","18-30","Liberal","Yes",3
"109","Male","18-30","Liberal","No",4
"110","Male","18-30","Green","No",2
"111","Female","< 18","Liberal","No",3
"112","Female","18-30","Liberal","No",3
"113","Male","< 18","Liberal","No",4
"114","Female","18-30","NDP","No",1
"115","Female","18-30","Liberal","Yes",2
"116","Male","18-30","NDP","Yes",5
"117","Female","18-30","NDP","No",4
"118","Female","18-30","Liberal","No",2
"119","Male","18-30","Green","No",2
"120","Male","18-30","Liberal","No",5
"121","Female","18-30","Liberal","Yes",5
"122","Male","< 18","Conservative","No",3
"123","Male","18-30","Liberal","Yes",2
"124","Male","18-30","Unsure","No",2
"125","Female","18-30","NDP","No",3
"126","Male","18-30","Conservative","Yes",5
"127","Male","18-30","Liberal","No",3
"128","Female","18-30","Other","Yes",5
"129","Female","18-30","Conservative","Yes",2
"130","Female","18-30","Conservative","No",4
"131","Female","18-30","Green","No",2
"132","Male","18-30","Other","Unsure",1
"133","Male","18-30","NDP","No",2
"134","Female","18-30","Conservative","No",5
"135","Female","18-30","Liberal","Yes",2
"136","Female","18-30","Liberal","No",4
"137","Male","18-30","Conservative","Yes",3
"138","Male","18-30","Liberal","Yes",5
"139","Male","18-30","Green","No",3
"140","Trans or Unisex","18-30","Liberal","Yes",3
"141","Female","18-30","Liberal","No",1
"142","Female","< 18","Conservative","Unsure",4
"143","Female","18-30","Liberal","Yes",3
"144","Female","< 18","Liberal","Yes",3
"145","Female","18-30","Conservative","No",3
"146","Female","18-30","Other","No",4
"147","Female","18-30","Green","No",2
"148","Female","18-30","NDP","No",4
"149","Trans or Unisex","18-30","Liberal","No",4
"150","Female","< 18","Conservative","No",5
"151","Female","18-30","NDP","No",3
"152","Female","18-30","NDP","No",4
"153","Female","18-30","Liberal","Yes",4
"154","Male","18-30","Conservative","No",4
"155","Male","18-30","Liberal","No",3
"156","Female","18-30","Other","Yes",2
"157","Trans or Unisex","18-30","NDP","No",5
"158","Female","18-30","Liberal","Yes",3
"159","Female","18-30","Liberal","No",5
"160","Trans or Unisex","18-30","Green","No",5
"161","Female","18-30","Liberal","Yes",4
"162","Male","18-30","Liberal","Unsure",4
"163","Female","18-30","Green","Yes",4
"164","Female","18-30","Liberal","Yes",4
"165","Trans or Unisex","18-30","Conservative","No",3
"166","Male","18-30","Liberal","No",3
"167","Male","18-30","NDP","No",3
"168","Female","18-30","Other","Yes",1
"169","Male","18-30","Liberal","Yes",2
"170","Trans or Unisex","18-30","Liberal","No",4
"171","Female","18-30","Liberal","No",3
"172","Male","18-30","Liberal","Yes",2
"173","Male","18-30","Liberal","No",3
"174","Female","18-30","Liberal","No",4
"175","Male","< 18","Liberal","No",1
"176","Female","18-30","Conservative","Yes",5
"177","Male","18-30","Other","Yes",5
"178","Male","18-30","Liberal","No",5
"179","Trans or Unisex","18-30","Liberal","No",2
"180","Female","18-30","Liberal","No",3
"181","Female","18-30","NDP","No",4
"182","Male","18-30","Conservative","Yes",4
"183","Female","< 18","Conservative","Unsure",4
"184","Male","18-30","Liberal","Yes",2
"185","Male","18-30","Liberal","No",5
"186","Trans or Unisex","18-30","Conservative","Yes",3
"187","Female","18-30","Liberal","Yes",3
"188","Trans or Unisex","18-30","Liberal","Yes",2
"189","Male","18-30","Conservative","Yes",2
"190","Male","18-30","Liberal","Yes",4
"191","Male","< 18","Conservative","No",5
"192","Female","18-30","Liberal","No",5
"193","Male","18-30","Other","No",5
"194","Female","18-30","Liberal","Unsure",3
"195","Female","18-30","Liberal","No",3
"196","Female","18-30","Liberal","Yes",4
"197","Female","18-30","Liberal","No",3
"198","Male","18-30","Green","No",2
"199","Male","18-30","Liberal","No",5
"200","Female","18-30","Conservative","No",2
"201","Female","< 18","Other","No",5
"202","Trans or Unisex","18-30","Conservative","No",4
"203","Female","< 18","Unsure","No",2
"204","Female","< 18","Conservative","Yes",5
"205","No reply","18-30","NDP","No",1
"206","Female","18-30","Liberal","Unsure",0
"207","Trans or Unisex","18-30","Other","Yes",2
"208","Female","18-30","Liberal","Yes",4
"209","Female","18-30","Conservative","Yes",4
"210","Female","18-30","Liberal","Yes",5
"211","Female","< 18","Conservative","No",4
"212","Male","18-30","Liberal","No",5
"213","Female","18-30","Liberal","Yes",3
"214","Male","18-30","Liberal","No",4
"215","Female","18-30","Other","No",3
"216","Male","18-30","Liberal","No",5
"217","Female","18-30","Conservative","Yes",3
"218","Male","< 18","Liberal","Yes",1
"219","Female","18-30","Conservative","No",2
"220","Male","18-30","Conservative","Yes",4
"221","Female","18-30","Unsure","No",5
"222","Male","18-30","Liberal","No",3
"223","Female","18-30","Liberal","Yes",5
"224","Male","18-30","Liberal","Yes",5
"225","Female","18-30","Liberal","No",2
"226","Male","18-30","Conservative","Yes",1
"227","Male","18-30","Conservative","Yes",3
"228","Male","18-30","Conservative","Yes",2
"229","Female","18-30","Other","No",4
"230","Female","18-30","Conservative","Yes",1
"231","Male","18-30","Conservative","Yes",3
"232","Male","18-30","Liberal","Unsure",4
"233","Female","18-30","Liberal","No",5
"234","Female","18-30","Green","Yes",5
"235","Female","18-30","Liberal","Yes",2
"236","Male","< 18","Conservative","Yes",3
"237","Female","18-30","Conservative","Yes",4
"238","Male","< 18","Conservative","No",3
"239","Male","18-30","Conservative","No",3
"240","Trans or Unisex","< 18","Liberal","No",2
"241","Male","18-30","NDP","Yes",4
"242","Female","18-30","Conservative","Yes",5
"243","Female","18-30","Liberal","No",4
"244","Male","18-30","Liberal","Yes",3
"245","Male","< 18","Liberal","No",2
"246","Male","18-30","Liberal","No",4
"247","Female","18-30","Liberal","Yes",3
"248","Male","18-30","Green","No",2
"249","Female","18-30","Other","No",2
"250","Female","18-30","Conservative","No",4
"251","Female","18-30","Liberal","Yes",1
"252","Female","18-30","NDP","Yes",4
"253","Female","18-30","Liberal","No",2
"254","Male","18-30","Unsure","No",3
"255","Female","18-30","Conservative","No",4
"256","Male","18-30","Liberal","Yes",2
"257","Male","18-30","NDP","No",1
"258","Female","18-30","Conservative","No",4
"259","Male","18-30","Liberal","No",3
"260","Male","18-30","Liberal","No",5
"261","Female","18-30","Other","Yes",2
"262","Male","18-30","Liberal","No",4
"263","Female","18-30","Green","No",4
"264","Female","18-30","Conservative","No",5
"265","Male","18-30","Conservative","No",2
"266","Male","18-30","NDP","No",2
"267","Female","18-30","Liberal","No",5
"268","Male","18-30","Conservative","No",5
"269","Male","18-30","Liberal","No",5
"270","Female","18-30","Other","Yes",5
"271","Female","< 18","Liberal","Yes",3
"272","Trans or Unisex","18-30","Conservative","No",2
"273","Male","18-30","Conservative","Yes",3
"274","Male","18-30","Liberal","No",4
"275","Female","18-30","Liberal","No",4
"276","Female","< 18","Liberal","No",5
"277","Male","< 18","Liberal","No",5
"278","Male","18-30","NDP","No",5
"279","Male","18-30","Conservative","No",4
"280","Female","18-30","Conservative","Yes",3
"281","Female","18-30","Liberal","Yes",3
"282","Male","< 18","Liberal","Yes",5
"283","Trans or Unisex","18-30","Conservative","Yes",4
"284","Male","18-30","Liberal","No",1
"285","Female","18-30","Liberal","No",3
"286","Female","18-30","Unsure","Yes",5
"287","Male","18-30","Liberal","Yes",2
"288","Male","< 18","Liberal","Yes",3
"289","Male","18-30","Liberal","Yes",5
"290","Male","18-30","Other","Yes",5
"291","Male","18-30","Unsure","No",3
"292","Female","18-30","Green","No",2
"293","Female","18-30","Liberal","No",3
"294","Male","18-30","Conservative","No",3
"295","Female","18-30","Green","Unsure",4
"296","Female","< 18","Conservative","No",2
"297","Female","18-30","Liberal","Yes",5
"298","Female","< 18","Green","No",2
"299","Male","< 18","Conservative","Yes",2
"300","Male","18-30","NDP","No",4
"301","Male","18-30","Conservative","Yes",4
"302","Male","18-30","Conservative","No",2
"303","Male","18-30","Unsure","No",0
"304","Male","18-30","Liberal","Yes",5
"305","Male","18-30","Liberal","No",2
"306","Female","18-30","Liberal","Yes",4
"307","Female","18-30","Liberal","Unsure",3
"308","Female","18-30","Liberal","No",4
"309","Female","< 18","Conservative","No",0
"310","Male","18-30","Conservative","Yes",3
"311","Female","< 18","Conservative","No",3
"312","Female","18-30","Liberal","No",2
"313","Male","< 18","Other","Yes",4
"314","Female","18-30","NDP","No",5
"315","Male","18-30","Conservative","Yes",5
"316","Female","18-30","Conservative","No",4
"317","Male","18-30","Unsure","Yes",4
"318","Female","18-30","Liberal","Yes",5
"319","Male","< 18","Conservative","No",4
"320","Female","18-30","Liberal","No",5
"321","Male","18-30","Liberal","No",3
"322","Male","18-30","Conservative","No",2
"323","Male","18-30","Liberal","Yes",3
"324","Male","18-30","Conservative","Yes",4
"325","Female","18-30","Liberal","Yes",2
"326","Male","18-30","Liberal","Yes",3
"327","Male","18-30","Liberal","No",5
"328","Male","18-30","Other","No",3
"329","Female","18-30","Conservative","No",5
"330","No reply","18-30","Liberal","Yes",3
"331","Male","< 18","NDP","Unsure",3
"332","Female","18-30","Liberal","No",4
"333","Female","18-30","Conservative","Yes",4
"334","Female","18-30","Conservative","Yes",1
"335","Female","18-30","Conservative","No",5
"336","Male","18-30","Other","Yes",4
"337","Female","18-30","Conservative","No",4
"338","Male","18-30","Other","No",3
"339","Male","18-30","Liberal","No",3
"340","Male","18-30","Conservative","Unsure",4
"341","Male","18-30","Unsure","Yes",4
"342","Male","18-30","NDP","No",5
"343","Female","18-30","Liberal","Unsure",2
"344","Female","18-30","Green","No",1
"345","Female","18-30","Green","No",5
"346","Male","18-30","NDP","No",3
"347","Female","18-30","Liberal","No",2
"348","Female","< 18","Conservative","No",3
"349","Female","18-30","Unsure","Yes",5
"350","Male","18-30","Liberal","Yes",4
"351","Female","< 18","Liberal","Yes",4
"352","Female","18-30","Other","No",5
"353","Male","18-30","Unsure","Yes",5
"354","Male","18-30","Green","No",1
"355","Male","< 18","Other","No",1
"356","Male","18-30","Conservative","Yes",3
"357","Male","18-30","Conservative","No",5
"358","Female","18-30","Conservative","Unsure",4
"359","Male","18-30","Liberal","No",3
"360","Male","18-30","Liberal","No",2
"361","Trans or Unisex","18-30","Conservative","Yes",4
"362","Female","18-30","NDP","Yes",4
"363","Male","18-30","Conservative","Unsure",5
"364","Male","18-30","Liberal","Yes",2
"365","Trans or Unisex","18-30","Unsure","No",2
"366","Female","18-30","Conservative","Yes",3
"367","Female","18-30","Conservative","No",2
"368","Female","18-30","Liberal","No",0
"369","Female","18-30","Green","Yes",5
"370","Trans or Unisex","18-30","Liberal","No",3
"371","Trans or Unisex","18-30","Conservative","Yes",4
"372","Male","18-30","Other","Yes",2
"373","Male","18-30","NDP","Yes",5
"374","Male","18-30","Liberal","No",2
"375","Female","18-30","Liberal","No",3
"376","Male","18-30","Liberal","Yes",3
"377","Male","18-30","Liberal","No",1
"378","Female","18-30","Liberal","Yes",3
"379","Male","18-30","Conservative","Yes",4
"380","Female","18-30","Liberal","No",2
"381","Female","< 18","NDP","No",2
"382","Male","18-30","Conservative","No",4
"383","Male","18-30","NDP","No",1
"384","Female","18-30","Green","No",2
"385","Male","18-30","Liberal","No",3
"386","Female","18-30","Liberal","Yes",0
"387","Male","< 18","Conservative","No",4
"388","Female","18-30","Conservative","No",4
"389","Male","18-30","Conservative","No",4
"390","Male","18-30","Conservative","No",4
"391","Female","18-30","Liberal","Unsure",4
"392","Female","18-30","Liberal","No",2
"393","Female","18-30","Liberal","No",3
"394","Female","18-30","Liberal","Yes",2
"395","Female","18-30","Conservative","Yes",5
"396","Trans or Unisex","18-30","Liberal","Yes",2
"397","Male","18-30","Green","No",3
"398","Male","18-30","Other","Unsure",4
"399","Male","< 18","Liberal","No",3
"400","Female","18-30","Liberal","No",2
"401","Female","18-30","Liberal","Unsure",5
"402","Female","18-30","NDP","No",4
"403","Female","< 18","Liberal","No",2
"404","Female","18-30","Liberal","Yes",3
"405","Female","18-30","Liberal","Yes",5
"406","Female","18-30","Green","No",4
"407","Trans or Unisex","< 18","Unsure","No",2
"408","Male","18-30","Conservative","No",2
"409","Male","18-30","NDP","No",3
"410","Female","18-30","Liberal","No",5
"411","Female","18-30","Conservative","Yes",4
"412","Female","18-30","Liberal","No",1
"413","Male","< 18","Liberal","No",3
"414","Female","18-30","Liberal","Yes",4
"415","Female","18-30","Liberal","Yes",2
"416","Male","18-30","Unsure","No",5
"417","Male","18-30","Other","No",1
"418","Female","18-30","Conservative","Yes",4
"419","Female","18-30","Liberal","Yes",1
"420","Female","18-30","Liberal","No",5
"421","Female","18-30","Liberal","No",4
"422","Female","18-30","Conservative","No",3
"423","Male","18-30","NDP","Yes",2
"424","Male","18-30","Green","Yes",2
"425","Male","18-30","Other","No",4
"426","Female","18-30","Conservative","Unsure",4
"427","Male","18-30","Liberal","No",3
"428","Male","18-30","Conservative","No",5
"429","Male","18-30","Green","No",3
"430","Female","18-30","Liberal","Yes",3
"431","Male","18-30","NDP","No",1
"432","Male","< 18","Liberal","Yes",2
"433","Male","18-30","Liberal","Unsure",3
"434","Female","18-30","Conservative","Yes",5
"435","Female","18-30","Conservative","Yes",3
"436","Male","18-30","NDP","Yes",2
"437","Male","18-30","Conservative","No",1
"438","Female","18-30","Conservative","Yes",4
"439","Female","18-30","Liberal","Yes",4
"440","Female","< 18","Liberal","Yes",1
"441","Male","18-30","Conservative","No",3
"442","Female","< 18","Liberal","No",5
"443","Female","< 18","Conservative","No",3
"444","No reply","18-30","Conservative","No",3
"445","Female","< 18","Other","No",2
"446","Male","18-30","NDP","Yes",1
"447","Female","18-30","Liberal","Yes",4
"448","Male","18-30","Green","No",2
"449","Male","18-30","NDP","Yes",2
"450","Female","18-30","Liberal","No",4
"451","Female","18-30","Liberal","No",3
"452","Trans or Unisex","18-30","Liberal","No",2
"453","Female","18-30","Conservative","No",4
"454","Female","18-30","Liberal","Yes",2
"455","Female","< 18","Liberal","No",4
"456","Female","18-30","Other","Yes",3
"457","Female","18-30","Liberal","Yes",5
"458","Male","18-30","NDP","Yes",2
"459","Male","18-30","Conservative","Yes",3
"460","Male","< 18","Liberal","No",4
"461","Male","18-30","NDP","Yes",3
"462","Male","18-30","Liberal","No",3
"463","Female","18-30","Conservative","Yes",4
"464","Male","18-30","Liberal","No",1
"465","Female","18-30","Liberal","Yes",4
"466","Male","18-30","Other","No",2
"467","Female","18-30","Conservative","No",4
"468","Female","18-30","Conservative","Yes",3
"469","Male","18-30","Liberal","No",1
"470","Female","18-30","Other","No",5
"471","Male","18-30","Other","No",3
"472","Female","18-30","Liberal","No",4
"473","Male","18-30","Conservative","No",4
"474","Female","18-30","Other","No",2
"475","Male","18-30","Liberal","Yes",1
"476","Female","18-30","Conservative","No",3
"477","Male","< 18","Other","Yes",3
"478","Male","18-30","Liberal","No",4
"479","Female","18-30","Liberal","No",2
"480","Trans or Unisex","18-30","Liberal","No",0
"481","Male","< 18","Liberal","Yes",4
"482","Male","18-30","Conservative","Yes",0
"483","Male","18-30","Liberal","No",5
"484","Male","< 18","Liberal","Yes",4
"485","Male","18-30","Conservative","Yes",3
"486","Male","18-30","Conservative","No",2
"487","Trans or Unisex","18-30","Conservative","No",3
"488","Female","18-30","Liberal","Yes",4
"489","Male","18-30","Conservative","No",5
"490","Male","18-30","Liberal","No",3
"491","Female","18-30","Green","No",5
"492","Male","18-30","Conservative","Yes",1
"493","Male","18-30","Conservative","No",2
"494","Male","18-30","Conservative","No",5
"495","Female","18-30","Liberal","Yes",3
"496","Female","18-30","Other","No",4
"497","Female","18-30","Other","No",3
"498","Female","18-30","Liberal","No",3
"499","Male","18-30","NDP","Yes",4
"500","Male","18-30","Conservative","No",4
"501","Male","< 18","NDP","No",4
"502","Trans or Unisex","18-30","Liberal","Yes",3
"503","No reply","18-30","Conservative","Yes",2
"504","Female","18-30","Conservative","Yes",3
"505","Female","18-30","Liberal","No",5
"506","Trans or Unisex","18-30","Liberal","No",4
"507","Male","18-30","Conservative","No",1
"508","Female","< 18","Unsure","Yes",3
"509","Female","18-30","NDP","No",1
"510","Female","18-30","Other","No",0
"511","Female","< 18","Conservative","No",1
"512","Female","< 18","Conservative","No",3
"513","Trans or Unisex","18-30","Unsure","No",3
"514","Male","18-30","NDP","No",4
"515","Male","18-30","Conservative","No",1
"516","Female","18-30","Liberal","Yes",3
"517","Female","18-30","Liberal","Yes",5
"518","Female","18-30","Liberal","No",3
"519","Male","18-30","Conservative","No",2
"520","Female","18-30","Liberal","No",4
"521","Female","18-30","Liberal","No",3
"522","Female","18-30","Conservative","Yes",4
"523","Trans or Unisex","18-30","Unsure","No",3
"524","Female","18-30","Other","No",2
"525","Male","18-30","Conservative","No",1
"526","Male","18-30","Liberal","Yes",2
"527","Male","18-30","Liberal","No",3
"528","Female","18-30","Liberal","No",3
"529","Male","18-30","Liberal","No",0
"530","Male","18-30","Liberal","No",3
"531","Female","18-30","Unsure","No",3
"532","Male","18-30","Liberal","No",3
"533","Female","18-30","NDP","Yes",3
"534","Male","18-30","Liberal","Unsure",2
"535","Male","< 18","NDP","No",4
"536","Male","18-30","Conservative","No",4
"537","Female","< 18","Liberal","Yes",2
"538","Female","18-30","Green","No",2
"539","Female","18-30","Liberal","No",4
"540","Female","18-30","Liberal","No",3
"541","Male","18-30","Liberal","No",4
"542","Trans or Unisex","18-30","Liberal","No",5
"543","Female","18-30","Other","Yes",4
"544","Male","18-30","Unsure","No",3
"545","Female","18-30","Other","No",2
"546","Female","18-30","Green","No",2
"547","Female","< 18","Conservative","Yes",1
"548","Female","18-30","Liberal","No",3
"549","Female","< 18","Conservative","No",4
"550","Male","18-30","Liberal","Yes",4
"551","Female","18-30","Liberal","Yes",3
"552","Female","18-30","Liberal","No",4
"553","Female","< 18","Liberal","No",5
"554","Male","< 18","NDP","No",2
"555","Male","18-30","Other","No",2
"556","Trans or Unisex","18-30","Conservative","Yes",3
"557","Male","18-30","Conservative","No",2
"558","Male","< 18","Liberal","Unsure",3
"559","Female","18-30","NDP","No",5
"560","Male","18-30","Conservative","Yes",5
"561","Male","18-30","Unsure","No",3
"562","Male","18-30","Liberal","Yes",5
"563","Female","18-30","Liberal","No",4
"564","Female","18-30","Liberal","No",3
"565","Female","18-30","Conservative","Yes",3
"566","Male","18-30","Conservative","Yes",3
"567","Male","18-30","Liberal","No",3
"568","Female","18-30","Unsure","Yes",1
"569","Female","18-30","Conservative","No",2
"570","Female","18-30","Liberal","No",2
"571","Trans or Unisex","18-30","Green","Yes",3
"572","Male","18-30","Other","No",3
"573","Male","18-30","Liberal","Yes",5
"574","Male","< 18","Liberal","No",1
"575","Female","18-30","Conservative","Yes",1
"576","Female","18-30","Other","No",4
"577","Male","18-30","Conservative","No",2
"578","Female","18-30","Liberal","Yes",5
"579","Male","18-30","Liberal","No",5
"580","Female","18-30","Conservative","No",1
"581","Male","18-30","Liberal","Yes",4
"582","Female","18-30","Conservative","Yes",3
"583","Male","18-30","Liberal","No",5
"584","Female","18-30","Liberal","Yes",3
"585","Female","18-30","Liberal","No",0
"586","Male","18-30","Conservative","No",1
"587","Female","18-30","Liberal","No",2
"588","Male","18-30","Conservative","No",3
"589","Male","18-30","Liberal","No",3
"590","Male","18-30","NDP","Yes",3
"591","Female","18-30","Liberal","Yes",2
"592","Male","18-30","Liberal","Yes",4
"593","Female","18-30","NDP","Yes",5
"594","Female","18-30","Green","No",4
"595","Female","18-30","Conservative","No",3
"596","Female","18-30","Other","No",3
"597","Male","18-30","Conservative","Yes",3
"598","Male","18-30","NDP","No",3
"599","Male","18-30","Unsure","No",3
"600","Female","18-30","Conservative","No",3
"601","Female","18-30","Other","No",3
"602","Female","18-30","Conservative","No",4
"603","Female","18-30","Conservative","No",2
"604","Female","18-30","Liberal","No",4
"605","Male","18-30","Conservative","No",3
"606","Female","18-30","Unsure","No",3
"607","Female","18-30","Conservative","No",4
"608","Male","18-30","Liberal","No",3
"609","Female","18-30","Liberal","Yes",2
"610","Female","18-30","Liberal","No",3
"611","Male","18-30","Conservative","No",3
"612","Female","18-30","Liberal","No",3
"613","Male","18-30","Unsure","No",4
"614","Female","18-30","Other","No",5
"615","Male","18-30","Liberal","Unsure",3
"616","Female","18-30","Liberal","No",4
"617","Female","18-30","Other","No",3
"618","Male","18-30","Liberal","Yes",3
"619","Female","18-30","Liberal","No",3
"620","Male","< 18","Liberal","Yes",2
"621","Trans or Unisex","18-30","Liberal","Yes",3
"622","Male","18-30","Conservative","No",5
"623","Female","< 18","Other","No",4
"624","Female","18-30","Green","No",3
"625","Male","18-30","Liberal","Yes",3
"626","Male","18-30","NDP","No",2
"627","Female","18-30","Conservative","No",2
"628","Male","18-30","Liberal","No",4
"629","Male","< 18","NDP","No",3
"630","Female","18-30","Unsure","No",2
"631","Female","18-30","Conservative","Yes",3
"632","Female","18-30","Liberal","Yes",3
"633","Female","18-30","Liberal","No",5
"634","Female","18-30","Liberal","No",2
"635","Male","18-30","Liberal","No",4
"636","Male","18-30","Liberal","No",5
"637","Male","18-30","Conservative","No",5
"638","Male","18-30","Liberal","No",3
"639","Male","18-30","Liberal","Yes",4
"640","Female","18-30","Conservative","Yes",2
"641","Female","18-30","Conservative","No",2
"642","Female","18-30","Other","Unsure",3
"643","Trans or Unisex","18-30","Liberal","No",5
"644","Male","18-30","Conservative","No",5
"645","Male","18-30","Conservative","No",4
"646","Male","18-30","Conservative","Yes",4
"647","Male","18-30","Liberal","Yes",3
"648","Male","18-30","Liberal","Yes",5
"649","Female","18-30","Conservative","No",0
"650","Female","18-30","Liberal","No",3
"651","Male","18-30","Conservative","No",5
"652","Male","18-30","Liberal","No",2
"653","Male","18-30","Liberal","Yes",4
"654","Female","18-30","Liberal","Yes",4
"655","Female","18-30","NDP","No",4
"656","Female","18-30","Liberal","Yes",5
"657","Female","18-30","Conservative","No",3
"658","Female","< 18","Other","Yes",0
"659","Male","18-30","Liberal","Yes",2
"660","Male","< 18","Conservative","No",4
"661","Female","18-30","Conservative","Yes",4
"662","Male","18-30","Liberal","Yes",2
"663","Male","18-30","Conservative","No",4
"664","Male","18-30","Liberal","No",3
"665","Male","18-30","Liberal","Yes",1
"666","Female","18-30","Liberal","No",5
"667","Male","18-30","NDP","No",3
"668","Female","18-30","Liberal","No",3
"669","Male","18-30","Liberal","No",5
"670","Male","18-30","NDP","Yes",3
"671","Male","18-30","Liberal","No",5
"672","Female","18-30","NDP","No",5
"673","Female","18-30","Other","No",1
"674","Female","18-30","Conservative","No",5
"675","Male","18-30","NDP","Yes",2
"676","Female","18-30","Liberal","No",5
"677","Male","18-30","Liberal","Yes",3
"678","Male","18-30","NDP","No",2
"679","Female","18-30","Green","No",3
"680","Female","18-30","Conservative","Yes",2
"681","Male","18-30","Liberal","Yes",4
"682","Male","< 18","Conservative","Yes",2
"683","Male","18-30","Conservative","Yes",3
"684","Female","18-30","Conservative","No",3
"685","Female","18-30","Liberal","No",4
"686","Female","18-30","Conservative","No",3
"687","Male","< 18","Liberal","Unsure",5
"688","Male","18-30","Conservative","No",4
"689","Female","18-30","NDP","Yes",4
"690","Male","18-30","Conservative","No",5
"691","Male","18-30","Liberal","Yes",4
"692","Female","18-30","Conservative","No",4
"693","Male","18-30","Liberal","Yes",3
"694","Male","18-30","Conservative","No",1
"695","Female","18-30","Conservative","Yes",2
"696","Male","18-30","NDP","Yes",3
"697","Male","18-30","Liberal","Yes",2
"698","Male","18-30","Liberal","No",5
"699","Female","18-30","Liberal","No",2
"700","Male","18-30","Liberal","Yes",4
"701","Female","18-30","Liberal","No",2
"702","Female","18-30","Conservative","Yes",5
"703","Male","18-30","Conservative","No",4
"704","Female","18-30","Liberal","Yes",5
"705","Male","18-30","Other","Yes",2
"706","Male","18-30","Conservative","Yes",4
